number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
223,0.2849327420340227,290,0.282305732641111,0.1587616512496309,0.20173839955745823,no freeze,0.00021056255724034105,3,608,1632.0,1632.0
9,0.2852546230263865,386,0.1381258278151911,,,no freeze,0.00034061595484394735,1,1376,,
372,0.28645270524274,72,0.23804226500102,0.11449217798565582,0.1924843608806833,no freeze,0.00017388712143389675,3,992,2016.0,1888.0
5671,0.2872063252551224,335,0.29814200982025163,0.2282738239374775,0.16032735587729785,no freeze,0.0002389530873728831,3,1376,2080.0,1632.0
281,0.2879411707966776,229,0.11843731557825148,0.1110386950150652,0.14665252539139334,no freeze,0.0002779911257613088,3,1120,1952.0,1312.0
7284,0.2880293581798664,127,0.24237041477073432,0.14730231636613228,0.484052387191444,no freeze,0.0002521124319872985,3,1312,2016.0,1760.0
264,0.2882388174898751,149,0.1201054630279209,0.18141155220154617,0.18305799687904434,no freeze,0.0002868684506092648,3,1248,1952.0,1568.0
412,0.29027463682561677,128,0.11412821864845023,0.11671252969092834,0.16562324101242423,no freeze,0.00017846807469700288,3,608,2080.0,1696.0
217,0.2911337635436481,419,0.21386636834967646,0.16558571064323638,,no freeze,0.0002467074102407804,2,1184,1952.0,
41,0.2927169949711717,254,0.2169029536988761,0.11587509952482643,0.16854621974000494,no freeze,0.0002394206591075874,3,1632,2080.0,1568.0
22623,0.2939107310484357,152,0.12749396017569523,0.32688773070984417,0.35477954383185994,no freeze,0.0002913009453150862,3,1248,1632.0,1504.0
203,0.29430842248850275,588,0.12375901959472768,0.16599286791079687,0.16922056909222966,no freeze,0.00019486028185075518,3,1184,1440.0,1760.0
379,0.29484857762167616,128,0.10966875700332454,0.26420587238722126,0.151248745290633,no freeze,0.00016979323586470966,3,800,2016.0,1568.0
9484,0.29553921901522395,98,0.12159136245243951,0.20980269308636723,0.18255693488761068,no freeze,0.0002227982877145877,3,1440,1696.0,1760.0
24858,0.29587107956135394,458,0.11306174418626505,0.13254575778123567,,no freeze,0.0003542936867334062,2,1248,2016.0,
1214,0.2974625168843677,133,0.21382689971168603,0.13186894674584468,0.1236974015172315,no freeze,0.00025762793183571516,3,608,1824.0,1504.0
209,0.29746475028470437,420,0.12226697189237717,0.11165731124255447,0.1877649500024051,no freeze,0.00020853935044255672,3,1632,1888.0,1312.0
550,0.2974905447653113,78,0.11238233485043764,0.22399465466983204,0.1612346098950051,no freeze,0.00041880264690067297,3,1184,1952.0,1568.0
60,0.2975319084122832,50,0.1365447257486874,0.12000588668151282,0.18213814089566477,no freeze,0.00022645205944017794,3,1184,2016.0,1632.0
900,0.29836611824858633,77,0.1131418281640789,0.11464068695222152,0.1325347111833963,no freeze,0.00019585191139497428,3,608,1952.0,1824.0
2050,0.2993292666002647,462,0.23919869938297417,0.12007579581680713,0.20833113460778463,no freeze,0.00021510393461404346,3,1440,2080.0,1696.0
2828,0.30142790028950744,430,0.10947843949293931,0.14242247084915924,0.21166033905715678,no freeze,0.00022774109591758196,3,1440,2016.0,1376.0
0,0.301433458803642,75,0.25478466669358196,0.1458515293707576,,freeze,0.0004580979051452023,2,416,1824.0,
242,0.305280001282329,102,0.18771729372191592,0.16185747727706146,,no freeze,0.0003279946602341026,2,1248,1760.0,
7490,0.30871190554517114,177,0.1919745731425116,0.1054110965117838,0.294195041408423,no freeze,0.0002900854040804469,3,672,1760.0,1376.0
7224,0.30984150162237406,154,0.2762102192052397,0.15121819110038173,0.1732056505630511,no freeze,0.0003579227597509914,3,1312,2016.0,1632.0
185,0.3119116749716809,579,0.12726976988611577,0.1748064078418722,,no freeze,0.0005612828111367777,2,480,1760.0,
5756,0.31956561693205676,51,0.11773510686742351,0.13309442085776013,0.29966335976115344,no freeze,0.00030831201695657594,3,992,1632.0,1440.0
1,0.32523154205205984,154,0.2107545896362645,0.23455692192776909,,freeze,1.6003960580328915e-05,2,1632,864.0,
9439,0.3254671287561772,176,0.1266471916552287,0.13219806118430166,0.17227419887772485,no freeze,0.00024602418023648477,3,1440,2144.0,1824.0
2084,0.3290151329990901,548,0.12400461899966843,0.15265220285129352,0.19923579662976157,no freeze,0.0003140491412602695,3,864,1696.0,1376.0
458,0.33288325971005245,610,0.11549515538662991,0.14182258280381893,0.22061805391153674,no freeze,0.000249637316463588,3,1376,2080.0,2016.0
37,0.3412882277221504,50,0.1382374817299618,,,no freeze,6.03223499041754e-05,1,864,,
20628,0.3516489274207005,143,0.16944245279119008,0.10531818664266344,0.3330170292083508,no freeze,0.00023823316266267288,3,1248,1696.0,1824.0
12331,0.36290185083678234,129,0.13213923315698248,0.1282739445860248,0.13885661973561375,no freeze,0.00018993152921122902,3,800,2016.0,1376.0
1124,0.3784303750344447,64,0.13640721702999112,0.19476853634032226,0.1855891023613482,no freeze,0.0004399816272092869,3,1248,1696.0,1504.0
80,0.38495662218600457,240,0.11692664975307217,0.10950153783391327,0.15742399257296527,no freeze,0.0003164830415865289,3,1376,2016.0,1440.0
7112,0.39717962070165985,534,0.3294418745538335,0.16832957002480411,0.22499302188665599,no freeze,0.0002607411356155213,3,416,1632.0,1440.0
387,0.4097560058357185,84,0.1538720395995807,0.13375573325999435,0.1659149995436496,no freeze,0.00025845259820562815,3,1120,1824.0,1376.0
237,0.41825831119053974,311,0.1647667332342184,0.20971755813252463,0.19922611982724986,no freeze,0.0003721561414596746,3,608,1632.0,1760.0
12074,2.4968863128169865,666,0.11769312309564331,0.26749143502957007,0.12801676695254943,no freeze,0.0004624348002386902,3,1376,1696.0,1376.0
12,2.5109220124832876,682,0.17268222822784032,0.16628342811846888,0.36967231818729035,no freeze,0.0005843359715679355,3,1248,544.0,1632.0
3,2.719896287996217,595,0.3640524849857036,0.2869454359934758,0.17323866237080077,no freeze,0.0016293179773460317,3,1888,1568.0,1440.0
16,3.492111658898012,475,0.1427396815479607,,,no freeze,0.0009792844252751848,1,1760,,
11,3.884691266625585,125,0.17187216143643583,0.10794319212512683,0.13349834773301833,no freeze,0.0008069892339444263,3,1248,2144.0,1760.0
8,670678764867.9534,77,0.12192286958821594,0.2681505027006533,0.12221921496314146,no freeze,0.04097828406137412,3,352,800.0,864.0
7,6.047043220285765e+18,304,0.2995149125943278,0.40608482082786096,0.27692018975813437,freeze,0.036123712111105565,3,864,1632.0,2144.0
