number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
7198,0.26138858692761024,640,0.20541991912601282,0.11869258649461555,0.21909888365662744,no freeze,0.00018455912818420099,3,416,2144.0,928.0
142,0.2617193811162384,523,0.20273486556917503,0.16387647162744826,0.10057399629426607,no freeze,0.00010451895786826255,3,416,2016.0,1376.0
494,0.261983124606877,433,0.18070051256011752,0.16951528654699569,0.12393717035234882,no freeze,0.00022988556814589905,3,1952,2144.0,1888.0
131,0.2621766980243643,377,0.18897043233540267,0.10729756230159994,0.22621985070883502,no freeze,6.38891599137521e-05,3,992,1952.0,1696.0
1016,0.26223353885352446,290,0.17948065007506667,0.1821752297998903,0.13219112233304578,no freeze,0.00020686945533639098,3,672,864.0,1312.0
6404,0.26234012413791585,397,0.18321293174209693,0.1030529446039678,0.35148080073364335,no freeze,0.0002089542002898664,3,352,2144.0,2016.0
1148,0.26239262972710664,528,0.23651328940045824,0.1684607386737149,0.17756530044483118,no freeze,0.0001233402707288178,3,416,2080.0,1376.0
1532,0.2624547320502857,503,0.20931455888508957,0.12715431253102408,0.1208391790661634,no freeze,0.00012588494857277454,3,416,2144.0,1248.0
17385,0.2627046766589629,364,0.1706451660343072,0.21695772455770598,0.14205344144662332,no freeze,0.00015970853909162198,3,416,2080.0,1376.0
4141,0.2629482422246979,430,0.15866176945268728,0.10736126788778855,0.10000875623008472,no freeze,0.0001966031445955046,3,416,2144.0,1312.0
3549,0.26299237965353156,443,0.1824231352998215,0.10256721200045038,0.21638709432459446,no freeze,0.00023263521002940692,3,416,2016.0,800.0
5189,0.26306544195579523,277,0.2558831503129621,0.19065461624942032,0.12757551980603385,no freeze,0.00019646992152822843,3,672,2080.0,1760.0
4601,0.2631632528955894,102,0.14760329294141913,0.4034647382702766,0.15819010892989027,no freeze,0.00014917307604886388,3,416,1312.0,1376.0
140,0.2631880617812888,516,0.20130132921793314,0.1925978764147055,0.11041461825373829,no freeze,0.00013417741433155387,3,416,2016.0,2016.0
181,0.2634123635510972,476,0.24910236856795615,0.2025069722475704,0.10610627425587271,no freeze,0.00014910738753177094,3,416,2144.0,1312.0
184,0.26353896517851083,446,0.18838891199428368,0.1760132098407685,0.10432694851282759,no freeze,8.294292137385245e-05,3,544,2016.0,1184.0
1771,0.26363446193949097,415,0.13779944505676608,0.11500751093726706,0.2735496380948903,no freeze,0.00018655414031171186,3,608,1824.0,1120.0
5052,0.263641386720883,329,0.2464169404363314,0.10348408047319682,0.3504765484295927,no freeze,0.0001708751995442843,3,416,2016.0,1696.0
5501,0.2636436383979418,420,0.17212092997986284,0.10292782016136316,0.20652064306224438,no freeze,0.00016967406810391942,3,352,2080.0,864.0
231,0.26366261642864025,417,0.11937931980095338,0.19486263681098354,0.1000799529598629,no freeze,0.0001175483321654834,3,544,2016.0,1440.0
14946,0.2637549080484585,192,0.1472247243377893,0.11065550268327204,0.1411090373712555,no freeze,0.0001964973127218047,3,352,2080.0,1248.0
138,0.2637931200604911,518,0.18336929621100878,0.1938083518522183,0.1328666781135238,no freeze,9.776881262369165e-05,3,480,2080.0,1376.0
180,0.26384240314360036,554,0.18699807062116588,0.10801261976016223,0.13555448760940314,no freeze,9.077473154501266e-05,3,352,1888.0,1632.0
146,0.26408500935409596,496,0.17811218576254248,0.19281844281241878,0.20763636932342988,no freeze,0.00010841644947997666,3,480,2144.0,1504.0
156,0.26409627509405964,412,0.12675214780748906,0.18050176631460035,0.11170708546349425,no freeze,7.877574628235742e-05,3,608,1824.0,1888.0
5390,0.26440739072620933,271,0.27536321493501936,0.10964137635979398,0.22750866475983356,no freeze,0.00028884857773403755,3,416,2144.0,1376.0
2062,0.264654965670105,443,0.17059565852955436,0.13062310140797867,0.15202462782742598,no freeze,0.0002210697069998671,3,608,2144.0,1248.0
194,0.26473855414340414,422,0.18907467793546728,0.18789079563860153,0.16133924441601946,no freeze,0.0001254592727064738,3,480,2016.0,2080.0
4636,0.265243245762486,466,0.15042947070534893,0.11553077653204019,0.12652518456485826,no freeze,0.00019204456268887067,3,352,928.0,1504.0
2111,0.2652793555055467,129,0.19131646441474204,0.14758579773014022,0.13492822529281448,no freeze,0.00011688255211180085,3,352,2080.0,1248.0
22927,0.2657307295725588,218,0.1124752980532195,0.23116140707174365,0.11028039082001131,no freeze,0.0002069994308459416,3,352,2144.0,864.0
2896,0.26591912350565206,420,0.23324225328835105,0.3169686622247543,0.10794422528486114,no freeze,0.00015740107705646727,3,352,2016.0,1440.0
8,0.26617069852839986,438,0.18974733398285573,0.12414557042216832,,no freeze,4.211159266752621e-05,2,2144,864.0,
203,0.26623711170363296,480,0.2254888750261609,0.1553108142392407,0.16204759616766523,no freeze,0.00010916158337879241,3,480,2144.0,1248.0
1064,0.2665531245911845,419,0.1255385507127408,0.1998579237271938,0.3959699067384183,no freeze,0.0001836334522196332,3,416,2080.0,1248.0
16164,0.2666190622374732,655,0.10776123591389267,0.15639119455026132,0.10013786454197125,no freeze,0.00020845820629896596,3,352,2144.0,1760.0
1483,0.2668809583349324,315,0.1221688118588373,0.17245226531369054,0.11415766241302744,no freeze,0.0001616091932179804,3,352,2144.0,1888.0
